Student_ID,First_Name,Last_Name,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Grade,Study_Hours_per_Week,Parent_Education_Level
Student_21,Tyler,Mills,Male,20,Computer Science,84.53,51.11,40.36,55.59,68.89,9.94,76.05,Grade A,10.9,High School
Student_22,Sherry,Martinez,Female,18,Mechanical Engineering,52.3,49.8,64.18,57.63,65.79,4.13,81.9,Grade C,23.5,High School
Student_23,Eddie,Mendez,Male,18,Civil Engineering,66.94,87.34,42.52,62.34,95.87,1.99,63.91,Grade A,14.4,None
Student_24,Melissa,Phillips,Female,21,Mechanical Engineering,54.84,47.63,98.14,83.7,78.97,3.86,81.21,Grade D,11.2,Bachelor's
Student_25,Lisa,Lin,Female,23,Electrical Engineering,61.8,72.28,79.32,71.04,95.61,6.91,93.12,Grade A,7,Master's
Student_26,Daniel,Boyd,Male,22,Computer Science,52.58,54.85,53.46,76.89,94.32,7.88,58,Grade E,28.3,High School
Student_27,Tanya,Williams,Female,22,Electrical Engineering,99.81,45.54,61.31,52.37,96.38,8.43,69.03,Grade B,19.1,Bachelor's
Student_28,Thomas,Cross,Male,19,Computer Science,54.37,56.45,53.44,58.53,85.88,8.36,60.78,Grade D,26.5,Master's
Student_29,Tanya,Williams,Female,21,Mechanical Engineering,51.01,70.67,73.69,68.01,80.46,6.68,69.73,Grade E,5.8,Master's
Student_30,Regina,Johnston,Female,18,Computer Science,71.96,47.46,86.1,56.84,63.17,6.67,77.85,Grade E,12.9,Bachelor's
Student_31,Valerie,Davis,Female,18,Civil Engineering,96.17,95.92,60.45,84.63,70.49,3.51,87.34,Grade A,22.9,Master's
Student_32,Randy,Murphy,Male,23,Civil Engineering,79.97,92.61,79.62,83.85,91.7,2.97,50.98,Grade A,22,Bachelor's
Student_33,Audrey,Gonzalez,Female,24,Mechanical Engineering,59.36,63.66,72.94,77.61,89.77,3.44,68.5,Grade C,29.7,PhD
Student_34,Ashley,Blanchard,Female,23,Mechanical Engineering,89.11,81.94,56.71,97.63,60.57,5.51,80.04,Grade A,28.1,Bachelor's
Student_35,Christopher,Raymond,Male,20,Civil Engineering,97.79,45.27,56.32,75.36,59.19,0.52,79.16,Grade A,9.7,Bachelor's
Student_36,Angela,White,Female,18,Computer Science,79.01,82.75,72.32,72.47,85.89,7.79,80.38,Grade A,26.5,Bachelor's
Student_37,Ashley,Whitney,Female,22,Electrical Engineering,84.1,98.37,49.24,62.38,77.52,1.39,60.58,Grade D,26.1,Master's
Student_38,Tanya,Williams,Female,23,Computer Science,86.73,51.24,45.67,65.74,92.75,5.77,98.7,Grade A,10.2,Master's
Student_39,Aaron,Pena,Male,18,Civil Engineering,96.39,78.03,60.53,76.2,61.95,2.86,65.6,Grade B,10.3,Master's
Student_40,David,Thomas,Male,24,Computer Science,81.45,75.43,47.09,60.31,77.78,3.68,82.23,Grade B,13.4,Master's
Student_41,Steven,Sanders,Male,20,Computer Science,58.58,41.56,63.98,99.98,93.64,8.47,68.43,Grade D,19.6,PhD
Student_42,Casey,Howell,Female,23,Civil Engineering,76.6,75.7,97.18,92.12,55.21,5.78,75.06,Grade C,13.9,High School
Student_43,Jack,Hill,Male,20,Computer Science,64.58,56.57,96.13,67.14,73.12,9.53,81.45,Grade E,27.7,Bachelor's
Student_44,Kevin,Pena,Male,20,Computer Science,89.58,82.7,63.53,87.8,70.93,0.64,51.69,Grade A,5.4,None
Student_45,Kelsey,Richards,Female,24,Computer Science,73.19,90.75,65.29,81.24,52.55,1.75,98.89,Grade E,10.1,Master's
Student_46,Mark,Nguyen,Male,20,Mechanical Engineering,59.04,57.74,56.83,85.24,83.43,9.29,73.65,Grade D,23.6,None
Student_47,Diane,Jackson,Female,22,Electrical Engineering,99.64,84.62,59.93,60.36,78.78,4.26,98.85,Grade A,21.2,PhD
Student_48,Cesar,Smith,Male,22,Computer Science,81.13,63.7,74.72,92.44,55.52,5.13,64.51,Grade E,19.4,Bachelor's
Student_49,James,Cooper,Male,20,Civil Engineering,51.79,45.72,54.4,71.05,67.6,8.3,70.46,Grade C,10,Master's
Student_50,Tammy,Ayers,Female,24,Mechanical Engineering,50.86,55.42,87.84,60.82,90.62,9.29,53.87,Grade E,14.9,Master's
Student_51,Jesse,Roberts,Male,21,Civil Engineering,66.02,97.41,86.45,77.13,58.75,7.3,55.54,Grade A,17,Bachelor's
Student_52,Melanie,Jimenez,Female,18,Computer Science,59.79,58.62,57.78,93.17,94.13,7.6,60.83,Grade D,19.6,PhD
Student_53,Monica,Tucker,Female,23,Civil Engineering,90.65,59.79,80.89,98.35,56.07,3.2,77.42,Grade A,10,PhD
Student_54,Christopher,Gilbert,Male,24,Mechanical Engineering,92.24,51.38,82.23,87.41,58.46,4.67,77.89,Grade A,23.2,None
Student_55,Kelsey,Richards,Female,21,Computer Science,62.93,88.41,73.75,50.28,73.89,8.85,80.31,Grade B,12.7,High School
Student_56,Crystal,Gamble,Female,23,Computer Science,66.28,56.54,76.04,56.74,97.26,7.86,79.19,Grade C,21.5,High School
Student_57,Jason,Singh,Male,21,Civil Engineering,61.81,59.82,74.47,53.81,66.48,6.84,74.76,Grade B,17.8,PhD
Student_58,Audrey,Gonzalez,Female,21,Computer Science,95.42,64.86,44.91,55.06,82.91,0.65,90.1,Grade A,19.8,Bachelor's
Student_59,Michael,Rowe,Male,18,Computer Science,82.81,64.68,68.19,66.92,57.48,1.3,63.49,Grade E,16.1,High School
Student_60,Daniel,Boyd,Male,20,Computer Science,81.55,88.87,91.6,94.11,96.51,5.36,71.25,Grade D,16.9,Bachelor's
Student_61,Zachary,Boone,Male,23,Civil Engineering,69.29,89.16,41.39,80.77,59.24,9.43,51.32,Grade A,24.8,Master's
Student_62,Linda,Sanchez,Female,20,Computer Science,57.47,47.48,99.31,71.92,61.2,4.6,77.66,Grade D,29.2,Master's
Student_63,Steven,Arnold,Male,20,Computer Science,70.76,89.16,79.82,74.65,55.95,5.65,88.44,Grade C,13.7,None
Student_64,Julia,Bell,Female,18,Computer Science,81.43,73.14,47.1,91.9,82.48,1.07,97.77,Grade C,11.9,Master's
Student_65,Jamie,Robinson,Female,20,Civil Engineering,95.73,92.5,76.11,95.01,87.32,0.57,65.35,Grade B,9.6,PhD
Student_66,Vincent,Waller,Male,20,Electrical Engineering,59.69,76.77,90.88,97.26,57.28,6.74,81,Grade C,21.1,PhD
Student_67,David,Lewis,Male,22,Mechanical Engineering,75.11,85.27,99.85,86.75,65.99,6.32,59.45,Grade B,13.3,Bachelor's
Student_68,Stephanie,Taylor,Female,24,Civil Engineering,71.49,53.93,75.31,82.01,67.23,9.69,90.17,Grade D,9.7,PhD
Student_69,Kimberly,Webb,Female,22,Civil Engineering,86.45,50.03,58.56,87.27,61.6,8.58,59.93,Grade A,9.6,High School
Student_70,Jerry,Kelly,Male,23,Electrical Engineering,79.72,60.69,90.69,53.38,74.34,5,76.21,Grade D,26.5,High School
Student_71,Steven,Faulkner,Male,19,Civil Engineering,94.19,48.1,50.28,57.66,91.72,6.74,55.76,Grade A,11.8,High School
Student_72,Debra,Stark,Female,22,Computer Science,97.94,61.52,59.15,71.03,56.47,10,58.37,Grade B,26.7,PhD
Student_73,David,Cole,Male,22,Computer Science,88.66,97.91,57,57.87,91.16,5.19,90.87,Grade B,6.4,Master's
Student_74,Cody,Hooper,Male,19,Electrical Engineering,95.3,81.88,91.65,92.73,91.23,9.1,73.52,Grade A,7.1,Master's
Student_75,Teresa,Blankenship,Female,23,Computer Science,61.73,71.85,65.3,78.9,69.45,9.67,78.31,Grade E,25.5,Master's
Student_76,William,Martinez,Male,24,Civil Engineering,59.88,98.13,60.34,68.41,55.5,5.82,59.33,Grade E,25.4,High School
Student_77,Mary,Pruitt,Female,21,Mechanical Engineering,85.34,70.72,53.16,79.55,82.78,5.73,81.56,Grade A,6,PhD
Student_78,Eric,Preston,Male,24,Mechanical Engineering,59.35,64.26,71.22,87.16,74.18,7.89,69.3,Grade D,16.3,Bachelor's
Student_79,Heather,Hines,Female,22,Computer Science,81.85,53.83,64.56,90.14,69.76,0.48,73.97,Grade E,15.5,High School
Student_80,Kelly,Zimmerman,Female,22,Mechanical Engineering,87.32,53.96,57.7,77.2,62.36,4.66,61.48,Grade A,9.6,None
Student_81,Robert,Long,Male,19,Mechanical Engineering,96.38,79.74,43.24,57.48,99.18,9.23,89.77,Grade B,27.7,None
Student_82,Bridget,Bowen,Female,24,Computer Science,82.34,70.06,71.25,89.34,62.66,9.91,96.97,Grade E,18.8,None
Student_83,Lindsay,Wilson,Female,21,Civil Engineering,98.51,79.54,89,65.39,51.19,1.91,71.59,Grade B,25.2,PhD
Student_84,Stacy,Villegas,Female,23,Computer Science,67.23,81.16,91.08,61.13,75.62,8.71,95.88,Grade B,7.6,Bachelor's
Student_85,Charles,Rodriguez,Male,20,Computer Science,67.5,41.34,54.13,73.53,68.85,1.46,94.13,Grade C,29.3,High School
Student_86,Jessica,Shaw,Female,20,Computer Science,50.07,51.46,64.52,95.28,68.21,9.6,73.87,Grade D,5.5,Master's
Student_87,Jessica,Terry,Female,24,Computer Science,87.59,73.13,94.18,54.18,51.15,3.99,67.06,Grade B,15.5,High School
Student_88,Christie,Williamson,Female,20,Mechanical Engineering,87.35,75.15,52.49,84.93,79.45,2.81,65.65,Grade A,5.1,None
Student_89,David,Rodriguez,Male,20,Electrical Engineering,76.11,78.39,50.83,65.83,60.69,6.81,84.52,Grade C,7.5,None
Student_90,Charles,Carrillo,Male,19,Computer Science,50.8,99.88,94.47,66.61,65.66,7.55,85.53,Grade D,18.7,PhD
Student_91,Robert,Haynes,Male,21,Computer Science,78.12,90.31,95.87,64.02,58.16,8.35,96.31,Grade D,9.8,PhD
Student_92,Jacqueline,Prince,Female,24,Mechanical Engineering,56.19,73.45,43.11,86.82,78.87,7.81,88.18,Grade C,11.6,Bachelor's
Student_93,Christine,Johnson,Female,20,Computer Science,87.77,80.89,73.85,97.75,63.55,7.58,54.37,Grade A,13,Bachelor's
Student_94,Brianna,Wilson,Female,18,Computer Science,50.48,96.26,63.43,86.22,81.07,2.1,74.52,Grade D,22.1,PhD
Student_95,Diana,Jacobs,Female,20,Civil Engineering,97.95,52.71,77.9,84.74,86.99,7.92,97.82,Grade A,24.5,Master's
Student_96,Carl,Hernandez,Male,22,Mechanical Engineering,75.76,55.36,96.84,84.71,86.98,3.22,90.95,Grade A,12.7,High School
Student_97,James,Reese,Male,21,Computer Science,99.15,48.94,50.22,94.15,74.11,9.96,78.14,Grade A,14.2,PhD
Student_98,Christopher,White,Male,19,Mechanical Engineering,67.47,43.76,61.83,87.06,59.65,2.39,90.65,Grade A,20.2,None
Student_99,Gary,Martinez,Male,24,Civil Engineering,92.17,92.5,60.26,61.44,57.61,6.59,96.75,Grade A,27.2,Master's
Student_100,Scott,Martin,Male,20,Computer Science,50.84,67.33,59.84,65.62,66.24,0.46,81.41,Grade D,16.6,Bachelor's
Student_101,Gregory,Graham,Male,22,Electrical Engineering,62.72,86.41,53.97,83.34,79.55,3.7,93.99,Grade B,24.5,PhD
Student_102,Liam,Jones,Female,18,Computer Science,71.6,80.47,58.88,55.68,55.33,2.73,78.35,Grade D,28.7,Bachelor's
Student_103,Omar,Johnson,Male,22,Electrical Engineering,52.84,57.67,89.51,63.16,58.94,0.41,75.13,Grade E,7,None
Student_104,John,Johnson,Female,24,Electrical Engineering,79.4,71.72,44.76,75.77,51.79,3.01,86.67,Grade E,27.5,Bachelor's
Student_105,John,Davis,Male,23,Computer Science,87.81,90.41,59.55,92.57,71.22,7.78,83.05,Grade A,16.6,Bachelor's
Student_106,Liam,Smith,Female,22,Civil Engineering,71.01,44.7,51.22,55.22,93.69,2.91,86.27,Grade C,26,PhD
Student_107,John,Johnson,Male,18,Electrical Engineering,54.41,73.37,50.79,53.72,81.65,3.05,70.38,Grade C,19.7,High School
Student_108,John,Smith,Male,21,Civil Engineering,60.1,78.35,65.49,75.35,93.05,5.54,97.04,Grade A,13.8,PhD
Student_109,Ali,Davis,Male,23,Mechanical Engineering,57.73,52.68,85.27,94.24,79.71,3.02,98.54,Grade C,23.3,PhD
Student_110,John,Jones,Female,22,Civil Engineering,74.08,84.71,90.41,52.12,68.44,6.31,72.44,Grade D,8.5,None
Student_111,Ahmed,Brown,Male,20,Computer Science,76.46,78.78,98.75,60.62,58.68,9.89,98.44,Grade A,21.7,None
Student_112,Omar,Jones,Female,24,Civil Engineering,53.66,50.14,53,91.29,59.65,1.69,84.13,Grade D,13.4,High School
Student_113,Sara,Brown,Female,20,Mechanical Engineering,79.99,85.08,85.4,90.37,70.87,1.79,53.75,Grade B,29.3,Bachelor's
Student_114,Ali,Williams,Male,21,Civil Engineering,76.32,45.02,72.44,89.25,91.29,4.47,57.25,Grade E,21,High School
Student_115,Maria,Smith,Male,24,Civil Engineering,75.81,73.92,59.66,56.49,56.46,0.41,93.23,Grade D,7.4,Bachelor's
Student_116,Omar,Smith,Male,24,Computer Science,93.66,73.11,52.34,69.86,56.45,4.78,94.69,Grade A,29.2,High School
Student_117,Liam,Williams,Female,20,Computer Science,52.04,90.67,65.76,99.44,77.6,0.12,66.99,Grade D,22.4,PhD
Student_118,Ali,Johnson,Male,18,Civil Engineering,50.88,53.03,46.46,97.56,65.1,1.54,60.55,Grade D,27.5,Bachelor's
Student_119,Liam,Brown,Male,21,Computer Science,62.57,84.61,99.13,72.5,75.31,0.78,64.74,Grade C,12.7,Master's
Student_120,Omar,Brown,Female,18,Computer Science,65.47,42.58,90.51,56.84,63.88,6.31,89.27,Grade A,15.6,None
Student_121,Omar,Brown,Male,19,Civil Engineering,80.84,89.89,65.39,83.45,99,0.1,96.76,Grade A,11.4,Master's
Student_122,Ahmed,Jones,Female,23,Computer Science,74.12,49.15,52.8,90.17,85.03,5.24,82.25,Grade C,23.4,PhD
Student_123,Emma,Brown,Male,23,Civil Engineering,97.55,83.38,72.57,99.13,84.05,1.76,57.1,Grade A,29.6,Master's
Student_124,John,Williams,Male,18,Computer Science,79.1,71.87,68.38,74.66,73,8.55,75.11,Grade E,22.7,None
Student_125,Ali,Smith,Female,24,Mechanical Engineering,71.52,45.66,69.9,97.77,50.9,1.98,59.58,Grade B,9.7,Master's
Student_126,Ahmed,Johnson,Male,18,Mechanical Engineering,93.97,57.48,72.48,91.81,57.51,7.09,56.04,Grade A,17.6,PhD
Student_127,Omar,Jones,Female,24,Civil Engineering,94.8,98.36,93.28,77.42,95.31,9.98,65.34,Grade A,14,None
Student_128,Emma,Smith,Female,20,Computer Science,61.93,91.43,77.97,55.09,58.79,3.92,60.9,Grade A,8.9,PhD
Student_129,John,Brown,Male,24,Civil Engineering,59.96,84,83.36,80.78,69.71,8.65,75.25,Grade C,14.2,Bachelor's
Student_130,Sara,Johnson,Female,24,Computer Science,66.12,94.05,74.7,92.09,73.89,0.92,63.76,Grade A,19.3,None
Student_131,Omar,Jones,Male,18,Civil Engineering,82.6,59.51,41.61,61.77,59.06,1.75,87.3,Grade E,19.3,None
Student_132,Omar,Jones,Male,19,Computer Science,85.41,83.97,99.98,69.69,63.54,8.5,84.98,Grade A,11.1,Master's
Student_133,Emma,Williams,Female,20,Computer Science,88.93,84.19,42.02,68.64,70.95,8.19,54.75,Grade A,7.8,High School
Student_134,Omar,Williams,Female,24,Mechanical Engineering,86.43,47.33,65.56,52.45,51.49,0.26,58.9,Grade A,10.5,Master's
Student_135,Sara,Smith,Male,18,Civil Engineering,67.25,72.57,88.07,54.32,72,0.54,98.1,Grade C,20.8,PhD
Student_136,Sara,Brown,Male,23,Mechanical Engineering,83.5,87.43,56.37,51.08,99.02,5.94,50.39,Grade C,11,None
Student_137,Maria,Smith,Female,24,Computer Science,62.89,52.08,55.39,84.4,82.99,2.79,84.62,Grade D,19.4,Master's
Student_138,Ahmed,Davis,Female,23,Electrical Engineering,62.25,69.1,55.07,76.28,67.77,1.44,75.37,Grade D,17,High School
Student_139,John,Smith,Male,20,Civil Engineering,85.74,76.45,76.97,93.8,57.3,9.41,95.13,Grade A,14.5,Bachelor's
Student_140,Omar,Jones,Female,22,Mechanical Engineering,76.07,49.61,88.9,74.93,98.19,1.21,69.03,Grade C,21,PhD
Student_141,Liam,Brown,Female,23,Computer Science,84.16,86.71,67.14,61.09,50.7,6.74,75.93,Grade C,26.4,PhD
Student_142,Omar,Williams,Female,22,Computer Science,63.47,57.96,62.75,90.26,84.07,8.94,87.12,Grade B,13.4,Master's
Student_143,Ali,Williams,Male,24,Civil Engineering,79.94,52.66,98.41,64.72,94.01,1.64,52.38,Grade A,17.2,Bachelor's
Student_144,Maria,Brown,Female,24,Computer Science,72.2,73.5,47.01,96.78,51.26,2.15,52.72,Grade C,16.4,Bachelor's
Student_145,Ahmed,Jones,Female,20,Civil Engineering,79.85,64.62,69.2,62.52,86.26,5.74,60.58,Grade C,11.2,None
Student_146,Liam,Johnson,Male,24,Computer Science,64.54,95.22,64.51,58.39,99.94,5.08,57.32,Grade D,15.5,Master's
Student_147,Maria,Smith,Female,20,Civil Engineering,85.77,92.8,45.89,74.67,81.98,5.21,50.32,Grade B,5.5,PhD
Student_148,Ahmed,Davis,Male,24,Civil Engineering,63,61.56,41.71,51.82,93.72,9.5,89.8,Grade D,23,PhD
Student_149,Omar,Brown,Male,18,Mechanical Engineering,65.03,59.53,92.62,74.8,77.71,0.54,97.86,Grade C,14.2,None
Student_150,Omar,Smith,Female,21,Civil Engineering,83.06,56.05,76.47,60.76,87.47,7.6,72.05,Grade E,23.7,Master's
Student_151,Omar,Johnson,Male,21,Electrical Engineering,85.2,88.3,71.29,64.8,51.91,3.74,93.2,Grade A,29.6,None
Student_152,Ahmed,Williams,Female,22,Mechanical Engineering,69.64,51.41,82.05,69.71,53.94,4.46,81.24,Grade B,15.1,Bachelor's
Student_153,Maria,Brown,Female,20,Computer Science,69.74,68.53,94.48,56.77,55.33,8.04,63.66,Grade D,21,PhD
Student_154,John,Jones,Male,23,Civil Engineering,54.66,69.78,97.5,69.69,92.78,1.04,89.83,Grade E,12.7,None
Student_155,John,Johnson,Male,18,Mechanical Engineering,96.89,58.03,98.85,56.88,87.5,7.62,78.18,Grade A,9.7,PhD
Student_156,Maria,Jones,Female,22,Civil Engineering,92.88,45.43,51.62,94.52,74.45,8.36,83.54,Grade B,9.5,None
Student_157,Sara,Brown,Female,24,Computer Science,95.33,92.19,47.15,73.44,62.79,5.84,88.34,Grade A,20.7,PhD
Student_158,Sara,Johnson,Female,24,Mechanical Engineering,70.43,62.6,96.76,59.78,73.75,5.07,92.23,Grade B,8.3,Master's
Student_159,Ali,Davis,Male,22,Computer Science,51.08,46.25,96.03,87.15,54.08,4.45,75.5,Grade D,29.8,Master's
Student_160,Emma,Davis,Male,21,Electrical Engineering,53.74,80.93,83.77,64.77,87.14,9.68,60.39,Grade D,22.8,None
Student_161,Maria,Davis,Male,18,Computer Science,99.43,41.94,77.52,94.76,77.95,9.05,71.06,Grade B,11.9,Master's
Student_162,Maria,Brown,Male,21,Computer Science,87.67,78.14,60.32,76.75,76.96,3.68,50.67,Grade A,18.9,Bachelor's
Student_163,Maria,Jones,Female,22,Electrical Engineering,62.29,79.76,49,85.68,75.14,8.53,94.93,Grade D,24.1,High School
Student_164,Emma,Jones,Female,21,Computer Science,52.16,83.21,68.63,52,73.03,7.04,88.34,Grade D,18.1,PhD
Student_165,Emma,Johnson,Male,22,Computer Science,91.89,79.57,40.26,61.39,55.54,2.8,67.33,Grade B,27.1,None
Student_166,Omar,Williams,Female,23,Computer Science,53.42,94.74,53.35,77.78,63.17,8.65,84.35,Grade D,28.6,None
Student_167,Maria,Brown,Male,19,Computer Science,74.07,41.09,49.53,97.18,62.25,3.94,87.98,Grade D,14.4,PhD
Student_168,Emma,Brown,Male,21,Mechanical Engineering,61.88,65.63,64.33,65.91,90.93,5.93,63.51,Grade B,19.6,Bachelor's
Student_169,Ali,Jones,Female,22,Computer Science,67.12,41.49,92.28,80.08,66.36,0.41,91.73,Grade C,18.4,None
Student_170,Ali,Brown,Female,18,Computer Science,78.37,43.96,78.51,83.74,65.26,4.61,79.97,Grade B,25.5,High School
Student_171,Maria,Jones,Female,18,Civil Engineering,54.11,59.1,78.62,84.32,67.23,8.84,51.72,Grade C,20,Bachelor's
Student_172,Ali,Williams,Female,19,Computer Science,71.22,41.26,69.79,71.99,99.63,6.95,97.61,Grade C,26.5,Bachelor's
Student_173,John,Williams,Female,21,Mechanical Engineering,77.13,56.38,84.02,98.19,65.08,0.87,78.13,Grade C,26.7,PhD
Student_174,Omar,Jones,Female,22,Civil Engineering,68.62,66.95,98.27,81.29,96.53,2,72.13,Grade A,5.4,High School
Student_175,John,Davis,Male,18,Civil Engineering,71.59,83.06,54.67,86.23,73,9.69,78.73,Grade C,21.7,Master's
Student_176,Ali,Davis,Male,18,Computer Science,69.11,93.68,75.71,79.59,89.16,1.91,56.4,Grade A,20.8,Bachelor's
Student_177,Emma,Johnson,Male,20,Civil Engineering,82.38,96.21,56.53,57.11,53.05,9.01,95.96,Grade E,26.5,None
Student_178,Ali,Brown,Male,20,Civil Engineering,75.52,43.17,64.32,62.63,88.03,5.65,87.28,Grade C,23.8,Master's
Student_179,Sara,Johnson,Male,24,Civil Engineering,65.11,46.61,82.1,63.35,55.26,3.65,61.3,Grade E,24.5,PhD
Student_180,Maria,Davis,Male,23,Electrical Engineering,51.54,80.18,71.45,61.53,62.24,1.56,77.89,Grade D,10,PhD
Student_181,Liam,Davis,Male,20,Civil Engineering,71.63,81.59,81.15,90.55,61.42,4.68,93.44,Grade B,29.6,None
Student_182,Liam,Smith,Female,23,Computer Science,66.91,55.7,62.89,74.18,70.61,2.33,86.16,Grade E,11.2,PhD
Student_183,Ali,Davis,Male,18,Computer Science,64.81,50.77,88.98,73.26,82.78,8.47,63.45,Grade B,6.4,PhD
Student_184,Maria,Johnson,Male,22,Electrical Engineering,94.32,94.29,96.5,62.66,99.23,1.46,89.6,Grade B,25.1,None
Student_185,Emma,Smith,Female,23,Mechanical Engineering,85.7,47.81,83.72,97.89,59.61,0.13,70.07,Grade B,29.9,Master's
Student_186,Ali,Williams,Male,22,Civil Engineering,80.6,89.6,64.65,68.1,78.88,2.46,64.38,Grade C,11,High School
Student_187,Maria,Brown,Male,20,Mechanical Engineering,68.45,55.74,45.01,89.74,58.61,4.94,50.85,Grade D,12.2,Bachelor's
Student_188,Emma,Davis,Female,19,Mechanical Engineering,79.61,93.08,71.82,62.72,66.78,6.61,72.8,Grade D,12.4,High School
Student_189,Sara,Jones,Male,24,Computer Science,60.74,79.97,60.39,93.11,74.97,2.81,98.04,Grade C,14.1,Master's
Student_190,John,Williams,Male,19,Computer Science,55.82,61.92,78.67,67.87,96.65,6.84,53.93,Grade E,16,Bachelor's
Student_191,Ali,Johnson,Male,21,Mechanical Engineering,81.26,50.25,57.01,70.06,66.49,6.7,58.52,Grade A,21.6,PhD
Student_192,Liam,Brown,Male,22,Computer Science,74.52,62.34,80.17,81.98,61.8,6.2,55.84,Grade E,21.2,Bachelor's
Student_193,Ali,Johnson,Male,18,Mechanical Engineering,93.63,76.02,48.49,73.66,99.66,0.79,72.62,Grade B,29.1,High School
Student_194,John,Davis,Female,22,Civil Engineering,77.35,68.94,84.15,51.06,69.36,7.48,79.04,Grade B,8.3,High School
Student_195,Ali,Smith,Male,19,Computer Science,74.04,51.92,78.74,90.72,97.03,5.22,91.01,Grade A,5.8,High School
Student_196,Maria,Smith,Male,24,Mechanical Engineering,55.58,91.78,57,79,55.96,5.95,61.07,Grade D,10.3,PhD
Student_197,Emma,Brown,Male,22,Civil Engineering,58.89,41.89,41.64,85.28,92.78,9.2,87.4,Grade C,10.4,Master's
Student_198,Omar,Johnson,Female,22,Computer Science,89.36,98.62,79.32,70.54,51.6,7.42,76.86,Grade A,26.7,PhD
Student_199,Ahmed,Brown,Male,20,Computer Science,91.79,51.91,76.17,86.78,98.22,3.02,72.54,Grade A,13.1,Bachelor's
Student_200,Liam,Williams,Male,21,Computer Science,77.26,46.62,41.65,56.57,70.91,1.18,96.79,Grade A,15.4,None
Student_201,Ali,Davis,Female,23,Civil Engineering,77.72,74.62,47.36,82.67,62.37,8.53,85.1,Grade B,22.1,High School
Student_202,Ali,Jones,Female,24,Mechanical Engineering,81.6,44.8,75.08,91.32,80.87,8.46,84.08,Grade C,13.5,High School
Student_203,John,Johnson,Female,22,Computer Science,71.96,76.15,94.71,94.47,56.65,1.75,50.59,Grade C,18.9,PhD
Student_204,Sara,Davis,Female,23,Civil Engineering,55.42,42.87,49.09,65.64,91.39,7.12,89.67,Grade D,11.5,Bachelor's
Student_205,Ahmed,Smith,Male,24,Civil Engineering,98.06,87.99,63.07,58.17,71.23,7.23,64.95,Grade A,22.9,PhD
